Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-10-13,Lamb,2021,https://boxd.it/2cAtNd,3,,Lionel MEssi gets shot to death by a Lamb Man,,2021-10-09
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/2mIx0P,4.5,,My biggest complaint about NWH is I wish there was more screen time with JB Smoove and Hannibal Burress (specifically together),,2021-12-16
