Date,Name,Year,Letterboxd URI
2020-11-13,Almost Famous,2000,https://boxd.it/29CQ
2020-11-14,Charlie Says,2018,https://boxd.it/gUKA
2020-11-14,Leaving Neverland,2019,https://boxd.it/l53U
2020-11-14,Now You See Me,2013,https://boxd.it/2Bsu
2020-11-14,Scouts Guide to the Zombie Apocalypse,2015,https://boxd.it/8i6Q
2020-11-14,Close-Up,1990,https://boxd.it/1m9q
2020-11-14,Shoah,1985,https://boxd.it/XSK
2020-11-14,Intolerance: Love's Struggle Throughout the Ages,1916,https://boxd.it/25Qk
2020-11-14,Angel Heart,1987,https://boxd.it/29WG
2020-11-14,Twelve Monkeys,1995,https://boxd.it/2beQ
2020-11-14,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2020-11-14,The Man Who Killed Don Quixote,2018,https://boxd.it/9rkY
2020-11-14,Jabberwocky,1977,https://boxd.it/1SYK
2020-11-14,Breaking Away,1979,https://boxd.it/1DMO
2020-11-14,Saturday Night Fever,1977,https://boxd.it/1URQ
2020-11-14,Anything Else,2003,https://boxd.it/1Vw0
2020-11-14,The Blade,1995,https://boxd.it/VSy
2020-11-14,The One-Armed Swordsman,1967,https://boxd.it/uSQ
2020-11-14,Rio Bravo,1959,https://boxd.it/2aE4
2020-11-14,Friday,1995,https://boxd.it/1VLO
2020-11-14,Police Story 3: Super Cop,1992,https://boxd.it/1Uyk
2020-11-15,Elephant,2003,https://boxd.it/287i
2020-11-16,The Usual Suspects,1995,https://boxd.it/29XE
2020-11-18,Twin Peaks: The Return,2017,https://boxd.it/hN9O
2020-11-19,Black Mirror: Shut Up and Dance,2016,https://boxd.it/hRRq
2020-11-19,Good Burger,1997,https://boxd.it/1Nkg
2020-11-20,The Seventh Seal,1957,https://boxd.it/2ahO
2020-11-20,Leap of Faith: William Friedkin on The Exorcist,2019,https://boxd.it/mRWA
2020-11-20,Film Stars Don't Die in Liverpool,2017,https://boxd.it/dWOe
2020-11-21,Loving Vincent,2017,https://boxd.it/biIQ
2020-11-21,Enemy,2013,https://boxd.it/5xtO
2020-11-21,Incendies,2010,https://boxd.it/Msm
2020-11-22,Untitled Tupac Shakur Documentary,,https://boxd.it/htPg
2020-11-26,The Basketball Diaries,1995,https://boxd.it/1WaO
2020-11-26,Unforgiven,1992,https://boxd.it/6Z4
2020-11-26,Hitchcock/Truffaut,2015,https://boxd.it/biqi
2020-11-27,The Deer Hunter,1978,https://boxd.it/1T6O
2020-11-27,Ratatoing,2007,https://boxd.it/60Li
2020-11-27,Happiest Season,2020,https://boxd.it/iS3I
