Date,Content,Comment
2020-09-16,https://boxd.it/1m4aYf,Yes sir!
2020-09-16,https://boxd.it/1m4aYf,Nice! I'm definitely looking forward to it
2020-09-18,https://boxd.it/1mkFzd,"I had the exact same effect when I watched Shame, another film by McQueen. I had to watch it a second time to fully embrace it's masterful filmmaking. Highly recommended! Anyway, great review. Excited to see the rest of your thoughts from the festival."
2020-09-22,https://boxd.it/1mGdeZ,"I will be watching that soon! I want to space things out by a few days, so I don't watch a bunch of westerns in a row and end up getting tired of them, but sometime this week I will be watching Once Upon a Time in the West"
2020-09-29,https://boxd.it/8NUBe,"You have the incorrect version of The Special on this list, the synopsis on the film festival website matches this one: https://letterboxd.com/film/the-special-2020-1/"
2020-10-10,https://boxd.it/1oDOnL,That's a fair opinion. There are definitely some fantastic aspects to it and I do understand why some people hold it in such high regard.
2020-10-10,https://boxd.it/1oDOnL,"Completely agree, the simplicity is brilliantly executed"
2020-10-10,https://boxd.it/1oDOnL,"The pacing just felt a bit off, and a lot of scenes didn't seem to have the correct tone / tonal shifts, if that makes sense. The plot itself and the way its shot are the simple elements that I think work very well."
2020-10-14,https://boxd.it/8QPzS,I will be watching it virtually - I'll probably watch it this weekend
2020-10-19,https://boxd.it/1pwB2b,Correct
2020-10-21,https://boxd.it/1pPeGF,"It seemed like Oscar bait from when I first heard about the film, but the 1/2 star rating from you confirms that."
2020-10-26,https://boxd.it/1qmuTL,"That is a fair point. Whenever I get around to watching It Comes at Night, I'll keep what you said in mind."
2020-10-26,https://boxd.it/1qmuTL,"Thanks for the heads up, I'll be sure not to"
2020-10-27,https://boxd.it/1qxfPr,I feel the same way. One of the best films of the 2000s and arguably the 20th century.
2020-10-29,https://boxd.it/1qGjfF,lame
2020-10-30,https://boxd.it/1qPPmL,"Pulp Fiction is a really good movie, don't get me wrong. I just don't agree with all the legendary hype."
2020-11-05,https://boxd.it/1rvt9f,Yes!
2020-11-07,https://boxd.it/33BsA,"The description still says the top 3 are in order but that's when it was Synecdoche, Mr. Fox and ISABD. Are the top 5 technically in order now with Paterson and Wendy & Lucy?"
2020-11-18,https://boxd.it/1sPSnv,"Fair, though I've always figured the dream started once they actually entered Vienna and starting talking more seriously."
2020-11-19,https://boxd.it/1sPSnv,"I thought Call Me by Your Name was excellent as well, but I think I fell in love with this one more"
