Date,Name,Year,Letterboxd URI,Rating
2023-09-30,John Wick: Chapter 2,2017,https://boxd.it/ayGu,4
2023-09-30,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,4.5
2023-09-30,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2023-10-20,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4.5
2023-10-26,Oppenheimer,2023,https://boxd.it/wUow,3.5
2023-10-26,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,3.5
2023-11-12,The Holdovers,2023,https://boxd.it/vHza,4.5
2023-11-23,PAW Patrol: The Mighty Movie,2023,https://boxd.it/xKHq,3
2023-12-06,Godzilla Minus One,2023,https://boxd.it/zu4c,4
2023-12-13,John Wick: Chapter 4,2023,https://boxd.it/mh48,4.5
2023-12-21,Millennium Actress,2001,https://boxd.it/1fK0,3
2023-12-26,Toy Story 2,1999,https://boxd.it/29qq,4.5
2024-01-15,Five Nights at Freddy's,2023,https://boxd.it/ikHu,2.5
2024-01-20,All of Us Strangers,2023,https://boxd.it/Bz3C,4.5
2024-02-05,The Zone of Interest,2023,https://boxd.it/gJsA,5
2024-05-25,I Saw the TV Glow,2024,https://boxd.it/woVe,4.5
2024-07-28,Longlegs,2024,https://boxd.it/KzLM,2.5
2024-07-30,Deadpool & Wolverine,2024,https://boxd.it/jq8s,4
2024-08-12,The Caregiver,2024,https://boxd.it/OqgI,4
2024-08-30,Fantasia,1940,https://boxd.it/29HG,5
2024-09-06,Inside Out 2,2024,https://boxd.it/CFrC,3
2024-09-23,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,3
2024-09-28,The Substance,2024,https://boxd.it/zanS,4
2024-10-05,Challengers,2024,https://boxd.it/zld0,4
2024-10-05,Hundreds of Beavers,2022,https://boxd.it/CyUM,4.5
2024-12-03,Gladiator II,2024,https://boxd.it/kqQQ,3.5
2025-04-08,Anora,2024,https://boxd.it/Egcw,3
2025-04-08,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U,3
2025-06-08,Bring Her Back,2025,https://boxd.it/Hxlc,4
2025-06-08,The Phoenician Scheme,2025,https://boxd.it/H0Ca,3
2025-07-20,Superman,2025,https://boxd.it/E9IU,3.5
2025-07-22,Heathers,1989,https://boxd.it/26x4,5
2025-07-24,Eddington,2025,https://boxd.it/o6MC,4
2025-07-25,Megalopolis,2024,https://boxd.it/lPBS,4
2025-08-01,The Naked Gun,2025,https://boxd.it/Da9k,4
2025-08-08,A Minecraft Movie,2025,https://boxd.it/zRro,0.5
2025-08-08,Warfare,2025,https://boxd.it/LbRo,3.5
2025-08-08,Weapons,2025,https://boxd.it/EMTM,4
2025-08-17,Ne Zha 2,2025,https://boxd.it/B2qe,4.5
2025-08-20,Materialists,2025,https://boxd.it/GZlW,4
2025-08-20,Alien: Romulus,2024,https://boxd.it/zGqO,3.5
2025-08-21,F1,2025,https://boxd.it/yjVM,3.5
