Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-11-12,Terminator 2: Judgment Day,1991,https://boxd.it/1seFKR,5,Yes,"I haven't logged anything in a few days, I know... been focusing on school and hanging with my friends a lot. Been doing a lot of gaming as well; I'm doing some shopping for a new PC, Blu-Ray player, and TV for my room.

But anyways, I watched this today with my friends and it's still one of the best action movies... <b>ever.</b> Perfection from the first frame to the last.","dvd, w the bois",2020-11-11
2020-11-13,The Two Popes,2019,https://boxd.it/1slj99,3,,<b>I mean</b>,netflix,2020-11-12
2020-11-16,Mulholland Drive,2001,https://boxd.it/1sGPOb,,Yes,I'll need to wait a bit of time to sit on this film before I'm able to write any cohesive thoughts on it. All I can say right now is that it's either a 7 or an 8.,,2020-11-16
2020-11-20,Bad Boys for Life,2020,https://boxd.it/1t0DlV,3,,One of the most basic Hollywood films I've seen (so far) from 2020 but I'd be lying if I said I didn't have some good fun with the plot twists and action scenes. It's always a nice reminder that I can still enjoy some mainstream movies despite all the progress I've made this year in watching great indie and artistic stuff.,,2020-11-19
2020-11-22,The Master,2012,https://boxd.it/1tfo59,4.5,Yes,"Another first watch for my parents. A bit uncomfortable at times thanks to its sexual content but I'm pretty sure they liked it.

As for me... yes, it's still fantastic. Every performance is world class; especially Joaquin who gives a top 10 performance of the decade. Everything I said in my first review still stands and I think this might just be a flawless film. It's hard to say as I'm still sort of processing what I watched (again), and while I can't think of anything wrong with it per se, I just can't decide on a 9 or 10 for this film. It's honestly painful and really damn frustrating trying to decide since this film is so good but it also didn't quite blow me away like some other 10/10 films did? UGH this ranking films is hard",netflix,2020-11-21
2020-12-10,Show People,1928,https://boxd.it/1vhYDN,3.5,,"Watched in preparation for The Artist (this was an inspiration for the film's screenplay)

The story is an interesting one, and overall this was a cool look at Hollywood in the 20s, but holy fuck did it feel slow in the first half hour. The 79 minute runtime felt much longer than that and the screenplay is rather cheesy so I hope The Artist is better written than this. But overall I'm glad I checked it out, as it tells a story as old as Hollywood itself in classic silent film fashion. Plus the cameos are great and I think the slap-stick sections are a lot of fun.",vimeo,2020-12-09
2021-01-01,Meet the Feebles,1989,https://boxd.it/1yeNQx,3.5,,"Lmao wtf?

Peter Jackson must've gone through a lot of therapy in the 90s and before making the LOTR trilogy... he went from the likes of David Lynch to Steven Spielberg in the matter of a decade.

Also this was unironically good. An insanely bizarre but intriguing portrayal of ""sleazy showbiz,"" as the film's synopsis puts it.",tubi,2020-12-31
2021-03-12,The Midnight Sky,2020,https://boxd.it/1IxWbB,1.5,,"I take back every mean thing I said about Interstellar.


Okay but in all seriousness, this has some pretty solid scenes and good qualities to it but nothing is consistent. One minute the film looks really nice or I care about the characters, then a really awkward transition occurs and things go back to being bleh. George Clooney's directing reminds me of Aaron Sorkin's directing but without the same skilled writer. The screenplay is so vanilla, the editing was meh, half the CGI looked fake and every green screen was obvious. There are some good looking shots but very few felt purposeful and most of them had a really distracting blur of everything in the background that just didn't feel natural at all. I also wouldn't call any of the performances great by any stretch, along with basically nonexistent character development and uncomfortable pacing that ruins any possible emotional hit with the exception of Iris and Augustine having some touching moments, but even then a lot of it is very cheesy. And while I almost never talk about a movie's music in negative light, Desplat's score felt really unoriginal and the percussion for each song in particular bothered me. Overall, The Midnight Sky feels like a film that would've been great had it come out in the late 2000s, and it was just a chore to watch (I only picked it since it's been getting awards attention for its technicals). I won't remember it in a few weeks, let alone watching it again ever.",netflix,2021-03-11
2021-03-19,Music,2021,https://boxd.it/1JtfLR,0.5,,fuck this piece of shit what more is there to say it personally offended me and is just a flaming dumpster fire all around,,2021-03-18
2021-05-04,Luzzu,2021,https://boxd.it/1Q4g5P,,,"I hesitate to say I watched this film (for the New Directors festival) but I didn't realize my period to watch it expired last night... I thought I had through tonight.

Not going to rate but based on what I saw, it's obviously very similar to CODA (also from Sundance) but not quite as good. It isn't badly made and there were some really interesting sections, but as a whole it felt mediocrely written and just not super intriguing. It was a good way to pass the hour that I watched it, and I'll try to finish it if it pops up on a streaming service sometime but overall it was just decent.",new directors 2021,
