Date,Name,Year,Letterboxd URI,Rating
2022-12-24,The Lost Daughter,2021,https://boxd.it/kgww,4
2022-12-24,Candyman,2021,https://boxd.it/kHFg,3.5
2022-12-24,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,2.5
2022-12-24,Lamb,2021,https://boxd.it/tFwE,2.5
2022-12-24,The Fallout,2021,https://boxd.it/tViI,3
2022-12-24,Mean Girls,2004,https://boxd.it/1VNg,4.5
2022-12-24,Juno,2007,https://boxd.it/210a,4.5
2022-12-24,Booksmart,2019,https://boxd.it/igNS,4
2022-12-24,Good Will Hunting,1997,https://boxd.it/2ahY,4
2022-12-24,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4
2022-12-24,Midsommar,2019,https://boxd.it/jhxe,3.5
2022-12-24,Parasite,2019,https://boxd.it/hTha,4.5
2022-12-24,Joker,2019,https://boxd.it/h4cS,3.5
2022-12-24,Knives Out,2019,https://boxd.it/jWEA,3.5
2022-12-24,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2022-12-24,Inception,2010,https://boxd.it/1skk,4
2022-12-24,Soul,2020,https://boxd.it/ioLA,3.5
2023-01-15,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-01-15,M3GAN,2022,https://boxd.it/jxmG,3.5
2023-01-27,Babylon,2022,https://boxd.it/mM02,3.5
2023-01-27,EO,2022,https://boxd.it/txhc,3.5
2023-02-19,Ice Merchants,2022,https://boxd.it/Arx8,4
2023-03-15,Scream VI,2023,https://boxd.it/zdfW,3.5
2023-03-19,Aftersun,2022,https://boxd.it/Arw0,4
2023-05-10,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4
2023-05-21,Up,2009,https://boxd.it/1OEc,4.5
2023-05-21,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,2.5
2023-05-21,Evil Dead Rise,2023,https://boxd.it/qIvo,3.5
2023-05-21,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,2
2023-05-21,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/kiYC,3.5
2023-05-21,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2023-05-21,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2023-05-21,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2023-05-21,The Dark Knight,2008,https://boxd.it/2b0k,4
2023-05-21,Three Thousand Years of Longing,2022,https://boxd.it/kmoy,3
2023-07-22,Barbie,2023,https://boxd.it/bCLK,4.5
2023-09-02,Bottoms,2023,https://boxd.it/uGf2,4
2023-10-10,Green Room,2015,https://boxd.it/a75m,3
2023-11-03,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.5
2023-12-03,Dream Scenario,2023,https://boxd.it/v2h0,3.5
2023-12-03,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,3
2023-12-03,Saltburn,2023,https://boxd.it/z4eg,3.5
2023-12-03,Beau Is Afraid,2023,https://boxd.it/u2gE,4.5
2023-12-25,Poor Things,2023,https://boxd.it/tNWU,4
2023-12-28,The Iron Claw,2023,https://boxd.it/w5Pm,4.5
2024-03-29,The Conjuring,2013,https://boxd.it/4sr2,3
2024-03-29,Skinamarink,2022,https://boxd.it/ByDO,2.5
2024-03-29,Dune,2021,https://boxd.it/fA7G,3.5
2024-03-29,C'mon C'mon,2021,https://boxd.it/nrI0,3
2024-03-29,Bones and All,2022,https://boxd.it/tLd4,3.5
2024-03-29,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-03-29,Late Night with the Devil,2023,https://boxd.it/zo6G,2.5
2024-03-29,Love Lies Bleeding,2024,https://boxd.it/zN4q,3.5
2024-03-29,Wonka,2023,https://boxd.it/tCQm,2.5
2024-03-29,All of Us Strangers,2023,https://boxd.it/Bz3C,3
2024-03-29,The Zone of Interest,2023,https://boxd.it/gJsA,4
2024-03-29,Drive-Away Dolls,2024,https://boxd.it/A8vi,3.5
2024-03-29,Fight Club,1999,https://boxd.it/2a9q,4
2024-03-29,Mean Girls,2024,https://boxd.it/p6nO,2
2024-03-29,The Devil Wears Prada,2006,https://boxd.it/2awE,3.5
2024-03-29,Ex Machina,2015,https://boxd.it/7T2k,4
2024-03-29,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw,2.5
2024-03-29,Lady Bird,2017,https://boxd.it/dGNE,4
2024-03-29,Se7en,1995,https://boxd.it/29zs,4
2024-03-29,May December,2023,https://boxd.it/vEE2,4
2024-03-29,The Boy and the Heron,2023,https://boxd.it/ipeM,3.5
2024-03-29,Thanksgiving,2023,https://boxd.it/EviY,3.5
2024-03-29,The Truman Show,1998,https://boxd.it/18U8,4.5
2024-03-29,Asteroid City,2023,https://boxd.it/s3ds,3.5
2024-03-29,No Hard Feelings,2023,https://boxd.it/xouu,2
2024-03-29,Gia,1998,https://boxd.it/1NUo,4
2024-03-29,"Girl, Interrupted",1999,https://boxd.it/25ds,4
2024-03-29,The Virgin Suicides,1999,https://boxd.it/28JG,3.5
2024-03-29,Carrie,1976,https://boxd.it/20ZQ,3.5
2024-03-29,Marie Antoinette,2006,https://boxd.it/27Wa,3
2024-03-29,Buffalo '66,1998,https://boxd.it/1YC6,3
2024-03-29,The Edge of Seventeen,2016,https://boxd.it/d5nu,3
2024-03-29,Thirteen,2003,https://boxd.it/1UPK,4.5
2024-03-29,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2024-03-29,Scarface,1983,https://boxd.it/2b7g,3.5
2024-03-29,The Exorcist,1973,https://boxd.it/1Yoo,3
2024-03-29,The Social Network,2010,https://boxd.it/17ue,3
2024-03-29,Hot Fuzz,2007,https://boxd.it/2416,4
2024-03-29,Fantastic Planet,1973,https://boxd.it/1KnQ,4.5
2024-03-29,Sound of Metal,2019,https://boxd.it/i7Q4,3
2024-03-29,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2024-03-29,The Parent Trap,1998,https://boxd.it/1XJq,3
2024-03-29,Idiocracy,2006,https://boxd.it/20RW,2.5
2024-03-29,Good Time,2017,https://boxd.it/fcFu,3.5
2024-03-29,Rosemary's Baby,1968,https://boxd.it/29zM,5
2024-03-29,Heathers,1989,https://boxd.it/26x4,4.5
2024-03-29,Life of Pi,2012,https://boxd.it/37pC,2.5
2024-03-29,Baby Driver,2017,https://boxd.it/bhF2,4
2024-03-29,The Lighthouse,2019,https://boxd.it/icFU,4.5
2024-03-29,Oldboy,2003,https://boxd.it/29R2,4.5
2024-03-29,Suspiria,1977,https://boxd.it/1SNW,3.5
2024-03-29,Nightcrawler,2014,https://boxd.it/780m,3.5
2024-03-29,Pitch Perfect,2012,https://boxd.it/3OsE,3
2024-03-29,The Fabelmans,2022,https://boxd.it/ugoM,4
2024-03-29,Oppenheimer,2023,https://boxd.it/wUow,4
2024-03-29,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3.5
