Date,Content,Comment
2024-04-02,https://boxd.it/6bPHIf,I was deathly afraid of this movie as a young kid
2025-01-25,https://boxd.it/8vzgbH,Fr bruh. Idk why people are acting this isn’t unintentionally hilarious
2025-03-11,https://boxd.it/95JeMv,Based
2025-04-12,https://boxd.it/9bZbTJ,"We need a film like this to tell us war is bad because we live in a society with pro American war propaganda being shoved down our throats at every turn. We need a movie like this as it shows how pointless this suffering is, for both sides. The American side isn’t painted as heroes here. They’re painted as morally ambiguous pawns. I’m sorry but real world documentation only can do so much. Anti war movies need to exist, and I think this one does as well."
2025-05-30,https://boxd.it/9QyXCr,Tf
