Date,Name,Year,Letterboxd URI,Rating
2022-09-04,Saw,2004,https://boxd.it/2aWW,3.5
2022-09-04,A Quiet Place,2018,https://boxd.it/fVJQ,3
2022-09-04,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3
2022-09-04,Deadpool 2,2018,https://boxd.it/dlLM,3
2022-09-04,Cruella,2021,https://boxd.it/bbKg,3
2022-09-04,Black Widow,2021,https://boxd.it/hWV8,2
2022-09-04,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,2.5
2022-09-04,Venom: Let There Be Carnage,2021,https://boxd.it/llco,2.5
2022-09-04,Lamb,2021,https://boxd.it/tFwE,2.5
2022-09-04,Three Thousand Years of Longing,2022,https://boxd.it/kmoy,3
2022-09-04,Bullet Train,2022,https://boxd.it/qW26,3
2022-09-04,Beast,2022,https://boxd.it/szW0,3.5
2022-09-04,Emily the Criminal,2022,https://boxd.it/wBOq,4
2022-09-04,Fall,2022,https://boxd.it/Bf6G,2.5
2022-09-04,DC League of Super-Pets,2022,https://boxd.it/jFTI,3
2022-09-04,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,2.5
2022-09-04,American Psycho,2000,https://boxd.it/28Vs,4
2022-09-04,Arrival,2016,https://boxd.it/aNGk,4
2022-09-04,Taxi Driver,1976,https://boxd.it/2b8y,4
2022-09-04,The Avengers,2012,https://boxd.it/1xFW,3.5
2022-09-04,Ratatouille,2007,https://boxd.it/27ww,4.5
2022-09-04,Toy Story,1995,https://boxd.it/29qA,3.5
2022-09-04,The Good Dinosaur,2015,https://boxd.it/3AD4,2
2022-09-04,Brave,2012,https://boxd.it/bVG,2
2022-09-04,Cars 2,2011,https://boxd.it/H4Y,2.5
2022-09-04,Monsters University,2013,https://boxd.it/bQm,2.5
2022-09-04,WALL·E,2008,https://boxd.it/1VEo,4
2022-09-04,Cars,2006,https://boxd.it/29ho,3.5
2022-09-04,Toy Story 2,1999,https://boxd.it/29qq,3.5
